chamber,monitor,tempTarget,tempLow,tempHigh,airTarget,airLow,airHigh,co2Target,co2Low,co2High,treatName
1,no,,,,,,,,,,
2,no,,,,,,,,,,
3,no,10,9.5,10.5,0,0,0,0,0,0,10C
4,yes,10,9.5,10.5,0,0,0,0,0,0,10C
5,yes,14,13.5,14.5,0,0,0,0,0,0,14C
6,yes,8,7.5,8.5,0,0,0,0,0,0,8C
7,yes,12,11.5,12.5,0,0,0,0,0,0,12C
8,no,,,,,,,,,,
9,yes,16,15.5,16.5,0,0,0,0,0,0,16C
10,no,,,,,,,,,,
11,no,,,,,,,,,,
12,no,,,,,,,,,,
