"","year","day","depth","temp","oxygen","pH"
"852",1997,165,-160,13.7546704895821,282.958122055465,8.07019549935587
"853",1997,165,-155,13.8229020836099,283.017143243851,8.07297212184912
"854",1997,165,-150,13.8860955291281,282.975244944887,8.07552076326517
"855",1997,165,-145,13.9444832983777,282.856780558233,8.07784906154865
"856",1997,165,-140,13.9985205431818,282.662140283891,8.07992181336777
"857",1997,165,-135,14.0486725785159,282.390620635354,8.08170186010403
"858",1997,165,-130,14.0954047193558,282.041518126112,8.08315204313891
"859",1997,165,-125,14.139115579332,281.617153887947,8.08424345402105
"860",1997,165,-120,14.1797089958809,281.142285018872,8.08500838225985
"861",1997,165,-115,14.2168663354236,280.651756717821,8.08550663439684
"862",1997,165,-110,14.2502678996655,280.180462464001,8.08579814866637
"863",1997,165,-105,14.279594136889,279.763286064791,8.08594285550333
"864",1997,165,-100,14.3046825648629,279.424747147721,8.08599232763728
"865",1997,165,-95,14.3258264209251,279.159294830284,8.08597388884926
"866",1997,165,-90,14.3434011235937,278.955955531085,8.08591049003985
"867",1997,165,-85,14.3577820913868,278.803755668729,8.08582508210962
"868",1997,165,-80,14.3693445270452,278.691777938953,8.08574033143138
"869",1997,165,-75,14.3784560493895,278.611083010344,8.08566890407808
"870",1997,165,-70,14.3854748670976,278.555185823917,8.08561105773181
"871",1997,165,-65,14.3907586024876,278.517754250009,8.0855662768896
"872",1997,165,-60,14.3946648778775,278.492456158954,8.08553404604848
"873",1997,165,-55,14.3975387293303,278.473316603033,8.08551374064304
"874",1997,165,-50,14.3996067171101,278.457722827342,8.08550370949109
"875",1997,165,-45,14.4010303954667,278.444906865162,8.08550173812017
"876",1997,165,-40,14.4019706496931,278.434119733915,8.0855056062612
"877",1997,165,-35,14.402588364105,278.424612455942,8.08551309365995
"878",1997,165,-30,14.4030212236103,278.41575281431,8.08552233308795
"879",1997,165,-25,14.4033236154329,278.407327822542,8.08553272485892
"880",1997,165,-20,14.4035312386709,278.399218549974,8.08554395366409
"881",1997,165,-15,14.4036797924223,278.391306065943,8.08555570419469
"882",1997,165,-10,14.403804730717,278.383472256222,8.08556766330649
"883",1998,165,-250,10.283752243245,197.908141651976,7.87763134995881
"884",1998,165,-245,10.3767798840459,203.014334070586,7.88965475266364
"885",1998,165,-240,10.4709629112008,208.113537219214,7.9015707959072
"886",1998,165,-235,10.5663784969162,213.171631705621,7.91331140389371
"887",1998,165,-230,10.6631060739646,218.153381914038,7.92480701961524
"888",1998,165,-225,10.7612250751185,223.023552228692,7.93598808606386
"889",1998,165,-220,10.8608176021263,227.747671070828,7.9467870464621
"890",1998,165,-215,10.9620124499027,232.304633527763,7.95717133764185
"891",1998,165,-210,11.0649781613379,236.684713180648,7.96713818505735
"892",1998,165,-205,11.1698845479569,240.878546777804,7.97668576492573
"893",1998,165,-200,11.2769014212852,244.876771067549,7.98581225346413
"894",1998,165,-195,11.3861904151651,248.672338962587,7.9945216549527
